gtin,fecha,cantidad,tipo_movimiento
7834296851738,2024-01-02,6,S
7834296851738,2024-01-04,9,S
7834296851738,2024-01-05,943,E
7834296851738,2024-01-05,205,S
7834296851738,2024-01-07,1,S
7834296851738,2024-01-09,6,S
7834296851738,2024-01-11,3,S
7834296851738,2024-01-12,6,S
7834296851738,2024-01-13,19,E
7834296851738,2024-01-13,3,S
7834296851738,2024-01-14,6,S
7834296851738,2024-01-15,8,S
7834296851738,2024-01-17,8,S
7834296851738,2024-01-18,4,S
7834296851738,2024-01-19,7,S
7834296851738,2024-01-20,33,E
7834296851738,2024-01-21,4,S
7834296851738,2024-01-22,7,S
7834296851738,2024-01-23,1,S
7834296851738,2024-01-24,7,S
7834296851738,2024-01-25,21,E
7834296851738,2024-01-25,2,S
7834296851738,2024-01-27,3,S
7834296851738,2024-01-28,3,S
7834296851738,2024-01-29,5,S
7834296851738,2024-01-30,7,S
7834296851738,2024-02-01,7,S
7834296851738,2024-02-03,25,E
7834296851738,2024-02-05,1,S
7834296851738,2024-02-06,3,S
7834296851738,2024-02-08,4,S
7834296851738,2024-02-09,8,E
7834296851738,2024-02-11,9,S
7834296851738,2024-02-12,6,S
7834296851738,2024-02-14,6,S
7834296851738,2024-02-15,21,E
7834296851738,2024-02-16,3,S
7834296851738,2024-02-18,3,S
7834296851738,2024-02-19,8,S
7834296851738,2024-02-20,14,E
7834296851738,2024-02-21,7,S
7834296851738,2024-02-22,7,S
7834296851738,2024-02-24,8,S
7834296851738,2024-02-25,4,S
7834296851738,2024-02-26,36,E
7834296851738,2024-02-26,10,S
7834296851738,2024-02-27,4,S
7834296851738,2024-02-29,5,S
7834296851738,2024-03-01,4,S
7834296851738,2024-03-02,4,S
7834296851738,2024-03-04,6,S
7834296851738,2024-03-05,27,E
7834296851738,2024-03-05,4,S
7834296851738,2024-03-06,6,S
7834296851738,2024-03-07,3,S
7834296851738,2024-03-11,10,S
7834296851738,2024-03-13,3,S
7834296851738,2024-03-14,22,E
7834296851738,2024-03-15,6,S
7834296851738,2024-03-17,8,S
7834296851738,2024-03-18,10,S
7834296851738,2024-03-19,12,S
7834296851738,2024-03-20,6,S
7834296851738,2024-03-21,6,S
7834296851738,2024-03-22,48,E
7834296851738,2024-03-23,3,S
7834296851738,2024-03-24,4,S
7834296851738,2024-03-25,1,S
7834296851738,2024-03-26,5,S
7834296851738,2024-03-27,2,S
7834296851738,2024-03-29,15,E
7834296851738,2024-03-31,11,S
7834296851738,2024-04-02,1,S
7834296851738,2024-04-04,14,E
