gtin,fecha,stock
7804587213648,2024-01-01,754
7804587213648,2024-01-02,749
7804587213648,2024-01-03,742
7804587213648,2024-01-04,738
7804587213648,2024-01-05,733
7804587213648,2024-01-06,729
7804587213648,2024-01-07,724
7804587213648,2024-01-08,724
7804587213648,2024-01-09,718
7804587213648,2024-01-10,709
7804587213648,2024-01-11,705
7804587213648,2024-01-12,703
7804587213648,2024-01-13,703
7804587213648,2024-01-14,696
7804587213648,2024-01-15,696
7804587213648,2024-01-16,689
7804587213648,2024-01-17,689
7804587213648,2024-01-18,684
7804587213648,2024-01-19,684
7804587213648,2024-01-20,678
7804587213648,2024-01-21,670
7804587213648,2024-01-22,670
7804587213648,2024-01-23,665
7804587213648,2024-01-24,665
7804587213648,2024-01-25,664
7804587213648,2024-01-26,661
7804587213648,2024-01-27,650
7804587213648,2024-01-28,646
7804587213648,2024-01-29,646
7804587213648,2024-01-30,642
7804587213648,2024-01-31,642
7804587213648,2024-02-01,633
7804587213648,2024-02-02,629
7804587213648,2024-02-03,629
7804587213648,2024-02-04,623
7804587213648,2024-02-05,620
7804587213648,2024-02-06,620
7804587213648,2024-02-07,615
7804587213648,2024-02-08,615
7804587213648,2024-02-09,606
7804587213648,2024-02-10,601
7804587213648,2024-02-11,601
7804587213648,2024-02-12,593
7804587213648,2024-02-13,592
7804587213648,2024-02-14,586
7804587213648,2024-02-15,584
7804587213648,2024-02-16,584
7804587213648,2024-02-17,578
7804587213648,2024-02-18,578
7804587213648,2024-02-19,570
7804587213648,2024-02-20,565
7804587213648,2024-02-21,565
7804587213648,2024-02-22,558
7804587213648,2024-02-23,558
7804587213648,2024-02-24,551
7804587213648,2024-02-25,548
7804587213648,2024-02-26,544
7804587213648,2024-02-27,539
7804587213648,2024-02-28,533
7804587213648,2024-02-29,533
7804587213648,2024-03-01,527
7804587213648,2024-03-02,525
7804587213648,2024-03-03,525
7804587213648,2024-03-04,517
7804587213648,2024-03-05,517
7804587213648,2024-03-06,506
7804587213648,2024-03-07,502
7804587213648,2024-03-08,499
7804587213648,2024-03-09,499
7804587213648,2024-03-10,497
7804587213648,2024-03-11,492
7804587213648,2024-03-12,485
7804587213648,2024-03-13,485
7804587213648,2024-03-14,475
7804587213648,2024-03-15,471
7804587213648,2024-03-16,471
7804587213648,2024-03-17,467
7804587213648,2024-03-18,463
7804587213648,2024-03-19,461
7804587213648,2024-03-20,458
7804587213648,2024-03-21,458
7804587213648,2024-03-22,449
7804587213648,2024-03-23,449
7804587213648,2024-03-24,448
7804587213648,2024-03-25,437
7804587213648,2024-03-26,430
7804587213648,2024-03-27,430
7804587213648,2024-03-28,422
7804587213648,2024-03-29,422
7804587213648,2024-03-30,421
7804587213648,2024-03-31,421
7804587213648,2024-04-01,421
7804587213648,2024-04-02,409
7804587213648,2024-04-03,406
7804587213648,2024-04-04,406
7804587213648,2024-04-05,405
7804587213648,2024-04-06,405
7804587213648,2024-04-07,397
7804587213648,2024-04-08,397
7804587213648,2024-04-09,390
7804587213648,2024-04-10,390
7804587213648,2024-04-11,384
7804587213648,2024-04-12,381
7804587213648,2024-04-13,377
7804587213648,2024-04-14,368
7804587213648,2024-04-15,361
7804587213648,2024-04-16,355
7804587213648,2024-04-17,351
7804587213648,2024-04-18,351
7804587213648,2024-04-19,347
7804587213648,2024-04-20,344
7804587213648,2024-04-21,344
7804587213648,2024-04-22,339
7804587213648,2024-04-23,339
7804587213648,2024-04-24,331
7804587213648,2024-04-25,322
7804587213648,2024-04-26,322
7804587213648,2024-04-27,315
7804587213648,2024-04-28,315
7804587213648,2024-04-29,315
7804587213648,2024-04-30,309
7804587213648,2024-05-01,306
7804587213648,2024-05-02,299
7804587213648,2024-05-03,293
7804587213648,2024-05-04,285
7804587213648,2024-05-05,285
7804587213648,2024-05-06,279
7804587213648,2024-05-07,271
7804587213648,2024-05-08,255
7804587213648,2024-05-09,246
7804587213648,2024-05-10,236
7804587213648,2024-05-11,234
7804587213648,2024-05-12,234
7804587213648,2024-05-13,231
7804587213648,2024-05-14,231
7804587213648,2024-05-15,226
7804587213648,2024-05-16,226
7804587213648,2024-05-17,226
7804587213648,2024-05-18,215
7804587213648,2024-05-19,215
7804587213648,2024-05-20,215
7804587213648,2024-05-21,215
7804587213648,2024-05-22,206
7804587213648,2024-05-23,200
7804587213648,2024-05-24,193
7804587213648,2024-05-25,188
7804587213648,2024-05-26,214
7804587213648,2024-05-27,210
7804587213648,2024-05-28,202
7804587213648,2024-05-29,196
7804587213648,2024-05-30,195
7804587213648,2024-05-31,193
7804587213648,2024-06-01,193
7804587213648,2024-06-02,183
7804587213648,2024-06-03,174
7804587213648,2024-06-04,214
7804587213648,2024-06-05,214
7804587213648,2024-06-06,211
7804587213648,2024-06-07,207
7804587213648,2024-06-08,207
7804587213648,2024-06-09,204
7804587213648,2024-06-10,204
7804587213648,2024-06-11,214
7804587213648,2024-06-12,214
7804587213648,2024-06-13,206
7804587213648,2024-06-14,197
7804587213648,2024-06-15,192
7804587213648,2024-06-16,190
7804587213648,2024-06-17,186
7804587213648,2024-06-18,214
7804587213648,2024-06-19,207
7804587213648,2024-06-20,204
7804587213648,2024-06-21,204
7804587213648,2024-06-22,197
7804587213648,2024-06-23,214
7804587213648,2024-06-24,214
7804587213648,2024-06-25,208
7804587213648,2024-06-26,204
7804587213648,2024-06-27,199
7804587213648,2024-06-28,214
7804587213648,2024-06-29,211
7804587213648,2024-06-30,206
7804587213648,2024-07-01,206
7804587213648,2024-07-02,203
7804587213648,2024-07-03,203
7804587213648,2024-07-04,198
7804587213648,2024-07-05,186
7804587213648,2024-07-06,185
7804587213648,2024-07-07,214
7804587213648,2024-07-08,208
7804587213648,2024-07-09,208
7804587213648,2024-07-10,207
7804587213648,2024-07-11,202
7804587213648,2024-07-12,202
7804587213648,2024-07-13,201
7804587213648,2024-07-14,214
7804587213648,2024-07-15,204
7804587213648,2024-07-16,197
7804587213648,2024-07-17,195
7804587213648,2024-07-18,195
7804587213648,2024-07-19,188
7804587213648,2024-07-20,181
7804587213648,2024-07-21,181
7804587213648,2024-07-22,175
7804587213648,2024-07-23,214
7804587213648,2024-07-24,214
7804587213648,2024-07-25,207
7804587213648,2024-07-26,204
7804587213648,2024-07-27,194
7804587213648,2024-07-28,194
7804587213648,2024-07-29,194
7804587213648,2024-07-30,184
7804587213648,2024-07-31,184
7804587213648,2024-08-01,214
7804587213648,2024-08-02,214
7804587213648,2024-08-03,210
7804587213648,2024-08-04,200
7804587213648,2024-08-05,200
7804587213648,2024-08-06,191
7804587213648,2024-08-07,214
7804587213648,2024-08-08,212
7804587213648,2024-08-09,202
7804587213648,2024-08-10,195
7804587213648,2024-08-11,195
7804587213648,2024-08-12,190
7804587213648,2024-08-13,190
7804587213648,2024-08-14,180
7804587213648,2024-08-15,214
7804587213648,2024-08-16,214
7804587213648,2024-08-17,214
7804587213648,2024-08-18,211
7804587213648,2024-08-19,211
7804587213648,2024-08-20,211
7804587213648,2024-08-21,200
7804587213648,2024-08-22,214
7804587213648,2024-08-23,214
7804587213648,2024-08-24,207
7804587213648,2024-08-25,207
7804587213648,2024-08-26,200
7804587213648,2024-08-27,214
7804587213648,2024-08-28,208
7804587213648,2024-08-29,203
7804587213648,2024-08-30,203
7804587213648,2024-08-31,195
7804587213648,2024-09-01,189
7804587213648,2024-09-02,189
7804587213648,2024-09-03,189
7804587213648,2024-09-04,189
7804587213648,2024-09-05,214
7804587213648,2024-09-06,214
7804587213648,2024-09-07,209
7804587213648,2024-09-08,209
7804587213648,2024-09-09,206
7804587213648,2024-09-10,214
7804587213648,2024-09-11,211
7804587213648,2024-09-12,205
7804587213648,2024-09-13,205
7804587213648,2024-09-14,197
7804587213648,2024-09-15,197
7804587213648,2024-09-16,197
7804587213648,2024-09-17,214
7804587213648,2024-09-18,206
7804587213648,2024-09-19,205
7804587213648,2024-09-20,205
7804587213648,2024-09-21,198
7804587213648,2024-09-22,198
7804587213648,2024-09-23,197
7804587213648,2024-09-24,214
7804587213648,2024-09-25,207
7804587213648,2024-09-26,203
7804587213648,2024-09-27,203
7804587213648,2024-09-28,194
7804587213648,2024-09-29,187
7804587213648,2024-09-30,214
7804587213648,2024-10-01,214
7804587213648,2024-10-02,208
7804587213648,2024-10-03,208
